id,temperature,soiling_ratio,voltage,current,module_temperature,efficiency,voltage_v,current_a,light_lux,temperature_c,power_w,fault_label
,,,,,,,22.4,0.11,58776,37.3,2.45,Open_Circuit
,,,,,,,30.14,0.1,79960,35.7,3.09,Open_Circuit
2326,29.9831019509362,0.9472022936011,33.7152014261268,2.13892650001465,38.3305514712656,0.205272779718803,19.1,6.3,64573,40.3,120.33,Normal
14903,33.8156468911853,0.936782458469255,,1.85635228864507,37.1481778310558,0.575100102398824,22.56,0.68,34549,27.3,15.34,Normal
19445,,0.46118545577404,0,1.01605015097145,25.0633145800559,0.483716319759576,33.64,1.92,33439,54.4,64.59,Normal
,,,,,,,16.06,2.6,9431,41.5,41.69,Shaded
6905,29.8454677237147,0.894784845652166,2.43481607104138,1.78633246795246,33.1871740794574,0.678537293041659,33.4,5.53,28461,26.4,184.7,

ed
11675,19.8154385518629,0.993825534961736,18.3437851311917,0.102692162324832,24.0583985945317,0.572578014267573,20.43,1.02,58072,33.7,20.84,Normal
6118,11.3752494456186,0.744080624158678,0,0.202911390003862,23.2335355287752,0,34.59,5.82,4633,58.8,201.31,Shaded
3695,,0.891045810777838,12.3860751284239,,36.3864170798879,0.474255868827798,21.66,5.53,91155,27.3,119.78,Normal
663,,0.5805968340101,38.9259599651825,1.86964435173351,37.3965543758462,0.425743014897936,24.9,1.12,81332,64.4,27.89,Normal
10970,26.6970038111357,0.723775665805261,42.5468931162936,1.75520312909183,29.021623656565,0.493164518173544,20.03,3.22,74204,43.9,64.5,Normal
,,,,,,,18.83,3.45,8659,44.9,65.02,Shaded
,,,,,,,20.71,4.06,22984,46.8,84.09,Dusted
,,,,,,,28.76,3.8,8257,29.3,109.23,Shaded
,,,,,,,18.52,3.46,3941,54.2,64.09,Shaded
11811,31.1385008979757,0.484136578916358,0,0.474559519763255,35.4416960633449,0.351081724843202,34.75,6.56,61993,45.7,227.96,Normal
,,,,,,,16.67,2.82,2759,27.7,47.09,Shaded
,,,,,,,27.25,2.17,24803,46.6,59.01,Dusted
,,,,,,,17.23,2.45,11140,55.2,42.29,Shaded
6033,30.348782612356,0.638085092122513,40.4768677339682,1.99640737509626,40.8965101509916,0.574813645207238,23.09,5.42,71634,44.8,125.15,Normal
,,,,,,,28.06,0.02,33970,35.7,0.54,Open_Circuit
11242,12.9835983911034,0.523504724334534,0,0.450542265534428,18.7923390630308,0.484678256544286,23.14,5.19,32157,47.6,120.1,Normal
5527,10.0690024932753,0.840398767549559,26.3733447525983,2.3341792455007,19.4261330116514,0.639194217955001,35.01,6.88,63512,40.8,240.87,Normal
4131,17.3587019605154,0.662133786977186,17.9815629236133,0.522233396678898,20.057145226278,0.403622245552554,36.79,3.86,53449,33.3,142.01,Normal
,,,,,,,26.98,3.16,23147,57,85.26,Dusted
1493,14.5761077819993,0.559288660796721,34.6057635411148,0.2313432115105,15.7804690262231,0.489435116192391,28.62,1.32,9275,42,37.78,Shaded
